"(array([ 88968.48263818, -33084.49564316]), array([[ 235565.29046354, -117775.32666459,  156189.35580702,
        -156179.49845002,   39042.41040654],
       [ -86127.12348972,   43062.77059439,  -55743.28349462,
          55743.33735051,  -13935.84692977]]))",True,False
"(array([60349.26450398,  5756.57980746]), array([[ 163374.42362197,  -81678.35434102,  111114.52499888,
        -111101.69602485,   27772.21745355],
       [  17160.76282716,   -8577.2928322 ,   12374.9962855 ,
         -12371.13704205,    3091.81961312]]))",True,False
"(array([57735.87047085, 73903.17760184]), array([[ 160381.94771855,  -80178.76900169,  111675.32860329,
        -111658.01308122,   27910.17517479],
       [ 206991.43975134, -103478.10913896,  143268.05435649,
        -143246.42296863,   35806.19769495]]))",True,False
"(array([ -8000.98376978, -24341.13788016]), array([[-21152.61658007,  10575.53526149, -13899.71227644,
         13898.68228922,  -3474.41311002],
       [-66488.2550566 ,  33240.98364305, -46735.23872327,
         46728.56564929, -11680.47417281]]))",True,False
"(array([  3609.40971296, -11353.02038241]), array([[ 10175.34686394,  -5086.74215411,   7144.074331  ,
         -7142.93493446,   1785.44886562],
       [-30610.53304637,  15303.90140377, -20298.59469945,
         20296.92024845,  -5073.81146795]]))",False,False
"(array([ 8782.21118633, -6274.13851878]), array([[ 22840.63184017, -11419.5584539 ,  15145.27791114,
        -15144.00188709,   3785.68156928],
       [-18634.77065343,   9315.62082613, -13151.36931939,
         13149.34489995,  -3286.83009027]]))",False,False
"(array([-3423.60254173,   639.67105174]), array([[-10402.19783764,   5199.9141616 ,  -7358.88777843,
          7357.67255542,  -1839.11426202],
       [  1283.80128566,   -641.90714176,    929.28316079,
          -929.09750733,    232.22800782]]))",False,False
"(array([-4184.95372897, -4130.27352962]), array([[-11741.58251981,   5870.00993715,  -8302.69009494,
          8301.44591087,  -2075.05051282],
       [-11372.15615674,   5685.50980844,  -7472.5193255 ,
          7471.94660926,  -1867.84345066]]))",False,True
"(array([22517.26334436, -2027.35136704]), array([[ 57278.0767832 , -28637.71872289,  35940.2738688 ,
        -35939.1729659 ,   8984.51788053],
       [ -6026.60264657,   3012.86466459,  -4221.03313085,
          4220.4730856 ,  -1054.97827627]]))",True,False
"(array([14775.16917976,  3536.3500634 ]), array([[ 36084.16181344, -18041.78392439,  22180.17498618,
        -22179.73374496,   5544.82314136],
       [  9101.03284443,  -4550.11103917,   6063.81597582,
         -6063.22796615,   1515.66000591]]))",True,True
"(array([16387.69374212,  5728.60175118]), array([[ 41384.66539019, -20691.35963377,  27238.93935754,
        -27236.72885713,   6808.62982864],
       [ 15177.88456394,  -7588.18255476,  10563.9641316 ,
        -10562.61237826,   2640.31525128]]))",True,False
"(array([16815.8802501 , -8885.89240683]), array([[ 41785.23930706, -20891.81365804,  26264.97955736,
        -26263.71374739,   6565.61205927],
       [-24217.89375565,  12107.60536177, -14832.96558324,
         14832.53013378,  -3708.02341506]]))",True,False
"(array([-198.19253052,  705.04519598]), array([[  381.25998629,  -190.15960618,    48.89560268,   -48.89782148,
           12.22490411],
       [-2177.68291028,  1086.48384701,  -322.53389082,   322.40817977,
          -80.57005226]]))",True,False
"(array([-883.3777447 , 1009.15391048]), array([[  335.03791096,  -166.44093124,    39.44958594,   -39.46350195,
            9.86910302],
       [-1997.82154243,   996.52522657,  -233.56057579,   233.64682415,
          -58.43265418]]))",True,False
"(array([-998.64599376, 1600.9807196 ]), array([[  185.56775025,   -91.69958582,    18.25233793,   -18.27194238,
            4.57263121],
       [-2326.39036848,  1160.05123934,  -271.67860176,   271.78019687,
          -67.96965751]]))",True,False
"(array([  616.42027423, -1008.5345024 ]), array([[  116.91226229,   -58.85357908,    17.87256394,   -17.86411257,
            4.46399822],
       [-2247.11281947,  1122.76921386,  -273.79562372,   273.85647326,
          -68.47907373]]))",False,False
"(array([  604.29210622, -7610.55836333]), array([[  226.70225345,  -113.63326622,    29.69733215,   -29.69707224,
            7.42425094],
       [-3673.46618896,  1839.32398717,  -390.25201567,   390.54670714,
          -97.71043457]]))",False,False
"(array([ 266573.05964847, 1552247.80317139]), array([[  80608.71781126,  -40297.20580251,    6103.14786011,
          -6102.02398215,    1525.22512523],
       [ 453627.24799594, -226809.74913123,   33152.5546545 ,
         -33151.95453051,    8287.83863792]]))",False,False
"(array([1301236.46521923, 3347541.38212024]), array([[ 386325.53226581, -193144.1328765 ,   28680.50096264,
         -28677.70764087,    7168.72867894],
       [ 997732.22990068, -498808.06218706,   74324.25006468,
         -74315.71218257,   18576.79367904]]))",False,False
"(array([ -57610.59322115, -867832.16849984]), array([[ -16537.68144447,    8269.19557707,   -1179.36696106,
           1179.44945933,    -294.88295348],
       [-257620.27896958,  128797.78711591,  -19104.17139486,
          19102.3876842 ,   -4775.15098901]]))",False,False
"(array([-433659.56824825,  219532.92271993]), array([[-128454.80272104,   64221.79593018,   -9514.42507977,
           9513.58321125,   -2378.1853668 ],
       [  64080.1069649 ,  -32039.32722309,    4680.1295368 ,
          -4680.02426678,    1169.97973923]]))",False,False
"(array([-519977.79282247,   84289.08947244]), array([[-151657.35303404,   75827.23664691,  -11061.76701227,
          11061.5382963 ,   -2765.32741668],
       [  25703.36966255,  -12849.01678632,    1965.74390513,
          -1965.32641777,     491.22725746]]))",False,False
"(array([  33921.0929589 , -745814.53674478]), array([[ 1.01047718e+04, -5.05184164e+03,  7.57039017e+02,
        -7.56941945e+02,  1.89211237e+02],
       [-2.19841886e+05,  1.09913985e+05, -1.61966608e+04,
         1.61956354e+04, -4.04865251e+03]]))",False,False
